KS,AD,pKS,pAD
0.2329515649589089,1.4584476200687562,0.08915862622923369,0.0783
0.2007781080608498,1.004073634324947,0.19592103211561834,0.1224
0.12218045112781954,-0.17883209664132874,0.7677944797842594,0.4352
0.19575100542052806,-0.5207408554453233,0.21920274335238304,0.6514
0.1554030424899458,-0.35152791755864365,0.481389383983281,0.5378
0.2973421926910299,2.7221021702233896,0.012833501582268203,0.0261
0.09158069592586117,-0.857848623033531,0.9607187500409774,0.8984
0.12148102815177479,-0.5012261558510519,0.7735703721288493,0.6305
0.1701783528588914,-0.16598711836113225,0.36978609631327697,0.4273
0.10535058576674244,-0.3901356927707047,0.8927734756773619,0.5558
0.14600454624934428,-0.7074448335934619,0.5601675319747337,0.7882
0.14137086903304774,-0.5510560587956229,0.6002928117123311,0.6636
0.12253016261584193,-0.5636680118943141,0.7646896804812022,0.6739
0.17896485399545375,1.7015323067137107,0.31189541045199837,0.0686
0.1686483650987935,0.7107969645878419,0.3804994408531169,0.1599
0.14499912572127993,-0.5768327676745618,0.5688183945546331,0.6903
0.2799003322259136,2.0759893125765574,0.02277177409359449,0.0474
0.17341318412309845,0.20330747193967397,0.3476118848418331,0.2883
0.12296730197586991,-0.7526622086650373,0.7611703326782333,0.8199
0.1551844728099318,-0.3012516423428086,0.48319183565618823,0.5018
0.12991781780031475,-0.8775300348634386,0.7010682107659709,0.9113
0.1719269102990033,-0.3131917532807444,0.3577933256635681,0.5047
0.30971323657982164,2.9715295253351113,0.008356922742130101,0.0158
0.34232383283790874,2.587768957933452,0.002457835169797702,0.0287
0.11614792795943346,-0.564050347651559,0.8165721327415659,0.6675
0.10674943171883196,-0.9515850436805933,0.8840703296174945,0.9586
0.11251967127120126,-0.8373780217185397,0.8441231890992984,0.8815
0.1211750305997552,-0.672075574283254,0.7759903227546912,0.757
0.08616016786151424,-0.8314968394987192,0.9771445985093783,0.8799
0.14259485924112608,-0.4327132310075371,0.5895928533468895,0.5809
0.2552019583843329,3.442944768350488,0.04822335508499316,0.0144
0.155359328553943,-0.011495034950178614,0.48188829346768713,0.3639
0.24527889491169785,0.1701096045668808,0.06392535491590809,0.2978
0.2689718482252142,2.298370627808396,0.032036297344708475,0.0376
0.16383983213848574,-0.7504032016015807,0.41554210572401007,0.8189
0.1988109809407239,2.420522351639697,0.20473480431169944,0.0313
0.13581919916069243,0.11995904818732554,0.6492325583891568,0.3109
0.1361689106487148,0.3961502867654971,0.6461909370548744,0.2325
0.14473684210526316,0.451344337649261,0.5710746594836197,0.2134
0.2525354082881623,1.1178023007539744,0.05205686616571798,0.1168
0.27854520020982687,1.1654511329997188,0.023786321728784175,0.1008
0.12580870781605175,-0.4827849998247054,0.7370605929537604,0.6219
0.13783004021682113,-0.4054612618947822,0.6315890418267093,0.572
0.10906627032698024,-0.29804119905705106,0.8684763780398681,0.4954
0.18622136737191816,0.9576610820673693,0.26877677938272504,0.1338
0.09866235355831439,-0.8494312996813669,0.9306098347752871,0.9003
0.1023343241825494,-0.9723745608215332,0.9110437934401574,0.9637
0.1839482426997727,0.13632628905369665,0.28191602240690267,0.3028
0.1971935653086204,-0.016094661302408584,0.21234471076635952,0.362
0.15068193740164365,-0.43157898343827583,0.5203910906209315,0.5785
0.22394649414233259,0.8898595573079606,0.11243795371729723,0.1408
0.22272250393425425,1.079159010334976,0.11596312606118442,0.1152
0.11509879349536632,-0.5353695480213835,0.8246637635023448,0.6518
0.14683511103339744,-0.5950139266958651,0.5529438369545492,0.6967
0.16152299353033747,-0.11379195941143411,0.43312072409310165,0.4044
0.166375240426648,-0.5644631957687555,0.3969858550821925,0.6754
0.16786151425074314,0.13087792577960103,0.38610458823703225,0.3095
0.15592760972197936,-0.4187489373621059,0.47738770498082655,0.579
0.1344203532086029,-0.20061402018857485,0.6616331198054375,0.4374
0.15872530162615842,-0.5582478411362214,0.45481935558772774,0.6662
0.2277058926385732,1.7586611889390529,0.10224432897325778,0.061
0.1382671795768491,-0.9081886893344728,0.6276264057623193,0.9314
0.09796293058226963,-1.0228205671566037,0.9338085554177807,0.9831
0.14246371743311767,-0.7344434035768853,0.5910064499734762,0.809
0.2555079559363525,1.1311659481014043,0.04782194063575926,0.1076
0.20921489770938975,-0.06592324422142004,0.16128243236549805,0.3795
0.13927260010491344,0.10635212871361938,0.6188703520890966,0.3218
0.17253890540304248,0.1440098812039793,0.353486832747928,0.3141
0.15959958034621438,-0.10876897562320219,0.4482438917637242,0.3984
