L,logL
2.283250310479913e-18,-40.62093167132161
6.071072623695908e-21,-46.55075165440389
6.001480639796203e-20,-44.25969564779701
3.654004689776714e-20,-44.75587811846213
1.49042377798886e-19,-43.35005627261008
5.166177158267255e-20,-44.40956887267346
1.6332726624818305e-19,-43.25853099654759
8.191448341543248e-22,-48.55378132095958
1.6048035740249958e-21,-47.88128558756753
4.389696955246548e-21,-46.875026758866156
7.71020958949509e-23,-50.91691176754639
1.1339432301449144e-20,-45.926000717429076
1.596003505463734e-23,-52.491954443432
4.82960063558623e-20,-44.4769380797786
9.318202692815514e-24,-53.03007246587492
5.380497847085391e-19,-42.066335860361455
3.360365384482748e-23,-51.747407425418515
8.080485986936485e-19,-41.65966474926454
6.088004376920137e-22,-48.850551706367675
6.678445976207314e-23,-51.0605718166713
2.6954798785003737e-25,-56.5730510738181
2.936469332248223e-23,-51.88224918657814
7.986577833317641e-17,-37.066184219087965
9.30195590945593e-19,-41.51889207599557
6.522607965098361e-24,-53.386767941248074
1.1754168231105836e-21,-48.19266412511244
4.350135649138157e-22,-49.1866650175447
1.9877772015865183e-18,-40.7595146435755
1.8636694860320737e-20,-45.42915447370004
1.70531449397289e-21,-47.820537405205975
1.7393374541085166e-20,-45.498197592667964
1.775476971903556e-19,-43.17504766349193
1.1103547732819639e-21,-48.24960737304755
3.7849983156550737e-28,-63.14133716194922
1.5359859350953952e-20,-45.62252938203629
2.1880525022848965e-21,-47.57127507304328
3.554094989315596e-21,-47.0861864960614
7.133293968565063e-19,-41.78434365196786
1.2800243676540504e-21,-48.10740783789492
6.883769476499429e-18,-39.517365282957876
4.1594847036369117e-19,-42.32372556960418
3.054023383128481e-21,-47.23782708954972
1.3408065680621556e-21,-48.061015603526904
5.614744901617051e-21,-46.62889079730751
7.581126071595229e-24,-53.236380484978554
4.163651861533301e-27,-60.743404970322075
3.994490426962833e-24,-53.877126213474554
1.9555702442141567e-21,-47.68360511694941
8.181716045772566e-25,-55.46272541069163
9.414641523687635e-24,-53.01977614549274
3.6712132506469174e-21,-47.05376475943265
2.486639046220535e-19,-42.83818474881901
1.2080883957093947e-19,-43.5600774947953
1.0838635489298312e-17,-39.063414563175556
2.8697633478694163e-19,-42.69488719770347
4.244936628365928e-21,-46.90856006175878
8.273489006207113e-25,-55.45157101769816
7.009473582468943e-19,-41.80185416388569
6.96648992671687e-21,-46.413175452264895
5.705625060877017e-20,-44.31024931887406
1.698159020161982e-23,-52.429912403908986
3.449822757067017e-20,-44.813379004920556
1.9926045124729524e-23,-52.270014555621444
1.565006319274506e-18,-40.998641812033775
2.0938065441792638e-22,-49.91788832346725
4.366156316990172e-23,-51.48557407812607
1.4264224632710597e-19,-43.393947231217034
8.0241998128134355e-25,-55.482165372605564
1.705486063328531e-18,-40.91268152265415
2.1165509840433972e-17,-38.39415871136367
6.221579679160368e-20,-44.223678017663495
1.2412865139292056e-21,-48.13813859986758
5.319052272564789e-24,-53.59074708862786
5.419401728556444e-22,-48.96688661869517
