L,logL
5.566292194284304e-15,-32.82204723690669
8.775649593949602e-14,-30.064210507504107
1.2759478901261696e-17,-38.900257235269216
7.436984551148742e-20,-44.045236395458026
2.6365945616600763e-19,-42.77962862118093
2.387718526664906e-16,-35.9710231692274
2.9785843129335227e-18,-40.35508354902757
7.127743688672811e-18,-39.482536942750066
5.404348065466181e-17,-37.45674275401744
7.22183313757982e-13,-27.95649739107257
2.3453917914101383e-13,-29.08115374575166
1.811073445682584e-16,-36.247441754506866
1.0100342957250514e-17,-39.133962294458684
4.539593980257802e-16,-35.32852391151201
1.0113823203202365e-18,-41.43521364478503
3.9330506899376295e-12,-26.261605734197413
1.4748915336636041e-13,-29.545021758334006
1.02980358884065e-12,-27.601653022316707
4.775273747055981e-14,-30.672740000400818
2.6075169443896966e-16,-35.88296308170526
2.136247277408088e-12,-26.871970434954214
8.746430797870544e-16,-34.67271577956743
5.41097391506461e-19,-42.0606876689615
2.647086470353218e-14,-31.262731711901417
1.9983740162661107e-13,-29.241272350886714
5.678591111161471e-19,-42.01241360873136
6.452627020191555e-18,-39.58204433605301
9.529731777988359e-18,-39.19211510163976
2.4009727642941652e-20,-45.17582788619045
3.059019919150435e-15,-33.42068181810884
3.081829386794748e-19,-42.62359338947234
4.995272494009218e-13,-28.325114244954854
7.655903110719456e-16,-34.80588448917383
1.9556413497158106e-14,-31.565473106157334
4.930052149673024e-12,-26.03567154990291
2.7603867461258128e-16,-35.82599069258441
7.131144333484265e-17,-37.17947486377077
7.340204802571956e-16,-34.847994743409814
1.2335435597004318e-13,-29.72371523865496
9.089032235199982e-16,-34.634293050157595
2.0626150451501485e-19,-43.025142149749044
1.2052600279193438e-16,-36.65466615343717
4.1919799531189286e-17,-37.710773416067305
6.596843825379542e-17,-37.25735525452026
1.4161423841634528e-13,-29.58566966491851
2.1204847026712112e-17,-38.39230188501199
7.721744967138032e-21,-46.31024658236697
1.0424687286517944e-13,-29.89201453117876
2.7463754249174977e-15,-33.52849437989689
1.656731976074827e-11,-24.823589050093144
