# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err cfht.megaprime.u cfht.megaprime.u_err cfht.megaprime.g cfht.megaprime.g_err cfht.megaprime.r cfht.megaprime.r_err cfht.megaprime.i cfht.megaprime.i_err cfht.megaprime.z cfht.megaprime.z_err ctio.ls.g ctio.ls.g_err ctio.ls.r ctio.ls.r_err ctio.ls.z ctio.ls.z_err 2mass.J  2mass.J_err  2mass.H  2mass.H_err  2mass.Ks  2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err
PTF09dah 0.0238 0.11495072366573782 0.012704823491597078 0.13241267687926708 0.012195658236225511 0.21756486535504052 0.022042311091934014 0.4845882474327973 0.026779336194692867 0.6868219293271285 0.03795518246424135 0.8094388480559516 0.04473124380537376 0.8959895286074976 0.090776053810217 0.4698426129195213 0.030291872703732126 0.6388467828217601 0.04707197052264287 0.6107510739805452 0.033751351643464975 0.7595699543512577 0.04197538689540898 0.9598594586532377 0.12376885252839968 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.1674993606315496 0.11828373145029256 0.5057094832338566 0.07918185998864005 0.8862047876025864 0.10610922053023084 0.4319379267511487 0.047739543899325554 0.2302493491018676 0.027568773383504202
PTF09dfk 0.0158 nan nan nan nan 0.14588634610455078 0.009405640322727843 0.4228409218859917 0.019472544068850888 0.6133604256711414 0.028246291455657054 0.7593812736213172 0.03497080001078556 0.8516369634315157 0.05490706414592346 0.42941407052221575 0.01977524875012696 0.8169994072406467 0.0376242131219457 0.7550895464912805 0.03477315867252914 0.8269620322677351 0.04569961075132195 0.8946672216965468 0.0576813274203283 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8582890183243186 0.06324107197037022 0.9525723820417661 0.09650867454303678 nan nan 0.5849691508254842 0.05387764986208583 0.41880620989598294 0.038573477430393036
PTF09dra 0.07657 0.08604841967796811 0.012680563739275832 0.10508921868492789 0.009679074735132253 0.23439853261721744 0.01511223187667434 0.6331700451121576 0.029158558144112435 1.0524174379639233 0.04846561408525432 1.4230096896179762 0.06553201797000872 1.6116281078115016 0.103905503981915 0.6746767480224563 0.03728401494206899 0.9962153068648664 0.04587741029999061 1.2873899496155015 0.059286498137100185 1.4552283302067386 0.06701574120073307 1.8924739915123707 0.12201230724858914 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.8103241966286534 0.11671591424201966 1.9932307310508512 0.1652250012557513 1.9509770152401713 0.21562994841916971 1.3964414617037118 0.1286170117183113 0.8722825151287075 0.0803401886485886
PTF09drs 0.0446 nan nan nan nan 0.654931359161888 0.030160703690809858 1.5710797290274061 0.0723508952792726 2.057054350284044 0.09473085364885184 2.5149166577905726 0.11581619212701963 2.8241545798043854 0.15606854965844258 1.5841474631347046 0.07295268667436612 2.0389303179942906 0.09389621111734528 2.494593774127231 0.11488028874762235 2.6446294540254525 0.1217896871466398 2.996140022118724 0.1655728164348822 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0023280007159885 0.19356723956436309 3.761605673013226 0.24251968015525854 3.266897251642485 0.330981592126909 nan nan nan nan
PTF09dsj 0.141 nan nan nan nan 0.009912108566735727 -0.9038095476658089 0.0034848865712261445 -0.317760215639346 0.005565639389041869 -0.5074881882914565 0.00710597853614313 -0.6479399618389693 0.00090488574108124 0.0006750787595215968 0.003354952344409197 -0.30591250493530486 0.003545769099665246 -0.32331162885468934 0.001571151355701159 0.0009984878745710655 nan nan 0.017009114635789607 -1.5509313786936816 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
PTF09due 0.028423 nan nan nan nan 3.123134133366102 0.17259077037383197 7.888684202194777 0.4359447995354717 11.713082099005016 0.6472888376204246 14.689637630725846 0.947075937639824 17.54917386952025 1.131437052096903 7.320183734061078 0.40452830265663664 10.58909668401942 0.5851751081494992 12.810966979837469 0.707960198270705 14.204420893031264 1.0466204096930227 16.07913731689558 1.3328489481871695 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 13.84083736469644 1.2747882316202008 9.052048830681159 0.8337245079432248
PTF09dxv 0.0324 nan nan nan nan 0.8380477943156313 0.0463122326017851 2.13294819567077 0.09822589438960125 3.030017172230162 0.13953744744586288 3.8094104391479857 0.21051580056667327 4.196398849515144 0.23190157044362242 2.1322478707560784 0.11783237188250979 3.0412811691684 0.16806740840953588 3.546156233254506 0.16330652960239483 3.755309939730509 0.20752609648310014 4.169626909228986 0.30722946446520005 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.922206640836273 0.31734638980312524 5.280903212013476 0.3404724123787449 5.128287057161684 0.5195659625382512 nan nan nan nan
PTF09dzt 0.0874 0.0655374515464799 0.015694178132229397 nan nan 0.09755535569929862 0.014376288497595952 0.23293460170179772 0.01501784876258982 0.352557773986366 0.01948306259520409 0.46995842603593985 0.025970862386815195 0.5243671569820796 0.04829599995690421 0.27096760734877845 0.017469927254235715 0.3532900970128851 0.01952353226122295 0.4353110093199145 0.032074900508039274 0.44018792465320883 0.03243424490951888 0.5718280318517023 0.06846750049868842 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.6017353593203795 0.08313281209791129 0.8079963829228403 0.07441921706044966 1.0006617448759205 0.11059722321027388 0.30873071433543986 0.045496239397003965 0.19036424171950628 0.029806430835126622
PTF09ecm 0.0289 nan nan nan nan 0.7960302682130136 0.05132196801646145 1.9105497076376043 0.0879840655246096 2.6715663434171546 0.14763621209512684 3.1360902425801322 0.14442229285698188 3.2345811946451257 0.17874956258084973 1.680912780855887 0.0928906730837264 2.3559793998650482 0.10849686091060637 2.7331431024109762 0.12586589129262027 2.890782840572654 0.15975056341885382 3.6714495385257297 0.6424906982587802 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.2283610482852825 0.20814012868836107 5.626938607958335 0.36278213882057087 3.6911701197136346 0.47595706442802915 2.0356479643346086 0.1874901062904218 1.1313369698765545 0.11461998424759556
PTF09eqb 0.146 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.006507712786428057 0.00047950599844851156 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0034982868244039437 0.00045108577320184 0.0051298599718201015 0.0003779820512083143 0.005456183411307785 0.0010050661270014963 nan nan nan nan nan nan nan nan nan nan
PTF09fae 0.0668 0.02533537066204448 0.0074671163919234965 0.01846001394102112 0.0020402761400187598 0.02769834465646191 0.002806223002289541 0.042752899676896765 0.002756381305392189 0.04764573275136687 0.0030718339113861154 0.05087649227959162 0.004217308297445316 nan nan 0.041493921714914 0.0030573851388999334 0.046388000481696307 0.0038452434625063634 0.051484635510223566 0.0037935281358103265 0.049803141142586105 0.005504446578201466 0.0525852456486607 0.012108200274203614 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.026690890316406507 0.008604126462581544 0.010902306942515714 0.005623181635698408
PTF09fbf 0.020744 0.8276298217703716 0.07622752360503107 1.4655521340681357 0.134982339876436 2.32661077642471 0.15000214014785554 5.679066905500014 0.3138368351692838 8.214724515430607 0.45396245309479805 10.024736529326114 0.5539874134468603 11.786703040323033 0.8684763749182534 5.450572886846776 0.3012097890607418 7.504240421687444 0.4838162596181842 8.694473569896438 0.4804743656033823 9.359118893555923 0.5172040235486591 9.977449195217593 0.9189570313205389 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 12.731336811862688 0.8208196179926783 13.163542139315265 0.969925628831561 11.96001878972399 1.2117142829944745 8.558928102497502 0.7883064104327426 5.09142920779514 0.5158317558197572
PTF09fma 0.031 0.1362031766794849 0.013799253786587112 0.16346937182654162 0.015056085549155824 nan nan nan nan nan nan nan nan nan nan 0.8628469745901969 0.06357691459924478 1.0361249491003504 0.047715317245553626 1.2310120640211424 0.056690200558218294 1.3527255670400251 0.07475437741387872 1.6939926700651333 0.12481799263146102 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.973649293475396 0.1636018359103684 1.8543812486477182 0.3074306846302023 0.9068589704185491 0.0835247978693472 0.5291266266269303 0.05360779964220543
PTF09fmk 0.0631 0.06995134158434245 0.011596961978426983 0.12122582332079662 0.014514904230548607 0.20253120658410775 0.018653813485866564 0.605555363149662 0.027886855043420155 1.0083463636126841 0.05572327933030369 1.4771692210763987 0.14965754444432625 1.5782991685021333 0.10175670785498148 0.5806597788338779 0.026740371016882137 0.8560083895936293 0.03942064314712261 1.1914353605372012 0.054867626008778925 1.3349412401292986 0.07377157918907298 1.6883711523898919 0.3265599327424681 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.426460203534958 0.17079639202126004 2.141416957433104 0.15778543245024418 2.012977765044448 0.278103155659189 1.2398702798437473 0.12561590023904104 0.7860579346802221 0.0868783335659696
PTF09foq 0.019904 nan nan 11.501095361061937 2.330438064370609 nan nan nan nan nan nan nan nan nan nan 19.108419946433898 8.62375753218844 33.2125492759253 21.71882072511352 38.22825932213606 18.308954569622323 46.73410338271183 12.913109974016985 49.475338897758135 15.948964894352889 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 76.43047097215701 4.92765456710808 80.79322759569067 5.20893188134795 66.28914250659123 6.7160012199735375 37.472989075091405 4.141667809643241 20.28129922226288 2.0547743592523067
PTF09foy 0.063 0.06646439516531115 0.010406714935530748 0.12078075704895234 0.013349182593669753 0.2020023391762111 0.014884082397986267 0.7098391049990863 0.032689298831902636 1.1372711438588858 0.05237327165083515 1.5092391976130028 0.08340364027646388 1.9369494562267422 0.10703978265097487 0.7080150490168822 0.03912635753956132 1.107385150876756 0.05099697081223562 1.4324511813894534 0.09235354062785384 1.5587146711062736 0.11485034130945353 1.7855142775443986 0.16445194235207067 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.0283764063001537 0.13077425973157192 2.788445675480197 0.20546027023950125 2.4317941713393605 0.26877182439147934 1.3511123101219134 0.12444204256989863 0.7974976558444883 0.0734522485618086
PTF09fqa 0.0309 0.18326395568132642 0.021943004326617076 0.34905394323523947 0.0353639618791471 0.6113116654931733 0.039412719587862424 1.7817528560028912 0.0820527513126365 2.6211512619438024 0.14485017173362397 3.3780536002840753 0.1866781407203755 3.733945836135896 0.20634547248800886 1.620573281802338 0.08955618913878005 2.529010477043376 0.11646523648931675 2.9789338461379717 0.13718497334265425 3.2088255534190626 0.17732625324770646 4.178958884815252 0.2309378023778549 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.130287749929252 0.2662894920773645 5.832788598740102 0.37605377818524854 4.767077757530012 0.48297049599181197 2.599197197067418 0.26333439966765115 1.6211543721090975 0.16424521918906335
PTF09fsr 0.00777 11.757316167444943 1.0828888376310644 17.564279161627088 1.6177298946699394 50.23239242757759 2.3132871597833433 152.0864755662115 7.003841029695236 252.5635307883835 11.630980420545493 341.94704132799404 18.896691838926195 376.080399062677 17.31914241297944 112.54523434659323 6.219479493455689 181.73795375621572 8.369342063006073 238.356838697246 13.172085686339159 260.1007548180604 14.373698897293565 306.73840795325174 19.776155996852747 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 498.2683360404344 32.124546800574265 553.5454219596093 35.688392233180274 468.44366565139956 47.45978166320158 318.1677252418475 29.304330448548143 253.67457951287182 23.364292210314858
